PairID	Text1	Text2 Translation
ENG-dev-0006	Ellegarden is a Japanese rock group formed in December 1998 in Chiba , Japan .	Ellegarden es una banda japonesa formada en 1998 por cuatro jóvenes.
ENG-dev-0010	Meat is dropped into a pan.	Una mujer pone carne en una sartén.
ENG-dev-0011	A couple walks down a city street holding hands.	Un hombre y una mujer caminan por la calle tomados de la mano.
ENG-dev-0014	Incidentally, what made him leave you?	Pregúntate si realmente lo amas.
ENG-dev-0016	Strictly speaking, it refers to text that is inscribed on a tombstone or plaque, but it may also be used in a figurative sense.	Algunos epitafios son especificados por la propia persona antes de su muerte, mientras que otros son elegidos por los responsables del entierro.
ENG-dev-0020	This man, wearing a white t-shirt and black shorts, is standing on a path in the forest.	Un hombre con camisa negra y una mujer vestida de negro y rojo se sientan en una mesa comiendo juntos.
ENG-dev-0021	"There's character development, it's also uncovers human relationship, it tells about family, friends, love, and how ""forever"" might be different for everyone."	Definitivamente es uno de mis favoritos :)
ENG-dev-0023	*hits head against wall repeatedly* Why oh why did it not work?	Tenía toda la extravagancia de Green y Levithan.
ENG-dev-0025	It is better known as a walk .	También se le conoce como paseo.
ENG-dev-0029	Its county seat is Alva .	Su asiento de condado es Bartlesville.
ENG-dev-0030	She didn't break down, she was strong and human.	Decir que nunca hubo un momento aburrido es quedarse corto.
ENG-dev-0035	A boy with no shirt is standing in water.	"skater ""haciendo estallar un caballito"" cerca del agua."
ENG-dev-0036	I didn't see any development in Valerie, but plenty of flaws.	Creó una dimensión tan nueva para ella que no pudimos ver en Hopeless.
ENG-dev-0037	He has played for Japan national team .	Es mejor conocido como el baterista de la banda de punk rock Rise Against.
ENG-dev-0039	the mission was running smoothly .	La misión iba demasiado bien.
ENG-dev-0041	the people speak , and they have chosen you , britt .	La gente ha hablado y te quiere, Brit.
ENG-dev-0042	I love this series and can't wait for the next one!	¡La historia comienza genial!
ENG-dev-0045	A young girl is drinking a drink through a straw.	cuatro niños pequeños juegan baloncesto.
ENG-dev-0048	I was on the edge of my seat for most of this book and could not stop reading.	La única queja que tengo con este libro es que simplemente no es lo suficientemente largo.
ENG-dev-0053	do you think he 'll be useful to you ?	¿Crees que te es útil?
ENG-dev-0055	Traditionally , plantain leaves are used like plates while serving South Indian thali or during Sadya .	Las hojas de plátano se utilizan como platos en varios platos, incluida la hallaca de Venezuela o el Thali del sur de la India.
ENG-dev-0058	I met my boyfriend at my school!	Conocimos el lugar donde asisto a clases.
ENG-dev-0059	Blue's father was bland and disappointing.	Aparte de la revelación sobre su vínculo con los árboles, no añadió nada.
ENG-dev-0060	Police commissioner (also known as the commissioner of police) is a senior rank in many police forces of the world.	En otras jurisdicciones, es el título de miembro de una junta de supervisión.
ENG-dev-0061	YOU COULD DO MUCH BETTER AND FIND A MAN OR BOY THAT DO CARE AND WILL DO YOU RIGHT!!!!	Podrías hacerlo mucho mejor y encontrar un hombre o un niño que se preocupe y te trate adecuadamente.
ENG-dev-0063	Currently , he plays in the Russian Second Division for FC Volga Tver .	Desde agosto de 2009 juega en el FC -LRB- Football Club -RRB- Volga Tver.
ENG-dev-0064	The characters are well-developed, and the plot is very intense and well-done.	Este es un libro que querrás leer con las luces encendidas.
ENG-dev-0065	It is a great character study.	Annith, como Ismae y Sybella antes que ella, era una protagonista interesante con una historia de fondo fascinante.
ENG-dev-0070	Valvular heart disease is disease process that affects one or more valves of the heart .	Si las personas padecen una enfermedad cardíaca más adelante, se denomina enfermedad cardíaca adquirida.
ENG-dev-0072	Bearded man in a blue jacket walking down the street.	Un hombre calvo se encuentra junto a un teléfono público, mirando en la otra dirección.
ENG-dev-0073	well , from my point of view , i guess this is quahog , but it 's no ice age .	Por lo que parece, supongo que esto es quahog, pero durante algún tipo de edad de hielo.
ENG-dev-0074	If you want to blow him off: --Give him your number with one or two wrong digits.	Si quieres rechazarlo discretamente, dale tu número de teléfono pero con algunos dígitos incorrectos.
ENG-dev-0077	He begins to show an interest in Megan, but Alex warns him to stay away.	Excita a Megan, le gusta a un chico mayor.
ENG-dev-0078	If you are truly interested in this man, approach him and talk.	No estoy seguro de amar a este chico, pero realmente me gusta mucho.
ENG-dev-0082	Two policemen in black and neon colors watch a light rail car go by.	Un hombre asiático vestido con ropa y zapatos negros y rojos dribla una pelota de baloncesto en una cancha.
ENG-dev-0083	Entombed A.D. was a Swedish death metal band formed in 2014, composed of former members of Entombed after their breakup.	Lanzaron su álbum debut, Back to the Front, el mismo año.
ENG-dev-0086	Oh, and her new roommate took compromising photos of Reed and a certain someone, and is now using it to blackmail Reed.	Desde encontrar a su novio hasta superar a su chantajista e intentar convertirse oficialmente en una Chica Billings, Reed tiene demasiadas cosas entre manos.
ENG-dev-0087	I think it's because I don't feel like this book went as deep.	Esta me pareció una razón débil, pero la seguí.
ENG-dev-0088	Wyanbene is a geographic area between Braidwood and Cooma in Southern NSW, Australia.	Incluye un importante sistema de cuevas y se encuentra junto al Parque Nacional Deua.
ENG-dev-0089	The girl flew her kite while she ran up a hill.	Una niña pierde su cometa.
ENG-dev-0090	finally , the itching stopped .	Finalmente controlé esa picazón.
ENG-dev-0091	Asterix and Obelix 's Birthday : The Golden Book -LRB- 2009 -RRB-	Astérix tiene muchas aventuras con su amigo Obelix.
ENG-dev-0093	how the eagle was lost , no one knows .	una de las mejores películas de martin scorsese.
ENG-dev-0094	marion opened the door , which was supposed to be locked from the inside .	Abrió una puerta que debería haber estado cerrada con llave.
ENG-dev-0095	The Walton family held five spots in the top ten richest people in the United States until 2005 .	Goodwater es una ciudad en el condado de Coosa, Alabama, Estados Unidos.
ENG-dev-0096	Two women standing by a table of vegetables.	Dos paseos en moto de cross durante una competición.
ENG-dev-0099	tickets , hotel bills , rented cars , all written on fake names , traced back to her .	billetes de avión, facturas de hotel, coches de alquiler, todo ello registrado con alias atribuibles a ella.
ENG-dev-0102	Definitely a sweet and quick read.	Llegué a amar a Warner aquí.
ENG-dev-0103	Hilton found literary success at an early age .	Hilton se convirtió en un escritor de éxito cuando aún era joven.
ENG-dev-0104	Melcher-Dallas is a city in Marion County , Iowa , United States .	Shinagawa tiene relaciones de ciudades hermanas con Auckland en Nueva Zelanda, Ginebra en Suiza y Portland, Maine en Estados Unidos.
ENG-dev-0105	Another potential risk is the activity of local monks , who have occupied roost caves during periods of meditation .	referencia: objetivo, lapso.
ENG-dev-0107	A child is walking through wet sand wearing a blue shirt.	Una mujer con una camisa azul está de pie con las manos en las caderas.
ENG-dev-0108	the 25th Century BC describe the nature of the Pharaoh in different characters as both Horus and Osiris .	Cuando murió, ese faraón se convirtió en Osiris, el dios de los muertos y padre de Horus.
ENG-dev-0109	In addition to housing the Trondheim Tramway Museum, it features the offices and depot for the tram operator, Boreal Bane.	La estación también cuenta con uno de los tramos de doble vía de la línea, por donde pueden pasar los tranvías.
ENG-dev-0110	I do love this series and this book went very quickly.	No podía dejar de leerlo.
ENG-dev-0111	Billericay is a part of the London commuter belt .	Billericay es una localidad del Reino Unido.
ENG-dev-0112	i 'll tell her right now .	Eso está justo cerca del parque Juniata.
ENG-dev-0113	Mexican singer Jenni Rivera believed killed in plane crash	Jenni Rivera, estrella de la música mexicana, muere en accidente aéreo
ENG-dev-0115	It is native to the southwestern United States, where it grows in scrub, woodland, and canyons.	Es una hierba perenne que crece erguida hasta una altura máxima cercana al medio metro.
ENG-dev-0118	Its orchestra is the Bavarian State Orchestra .	En 1923 partió hacia Estados Unidos.
ENG-dev-0119	I received Losing Hope as an ARC in exchange for an honest review.	Recibí una copia de esta novela del autor a cambio de una reseña honesta.
ENG-dev-0120	I thought this book was adorable.	Pensé que era el mejor personaje del libro.
ENG-dev-0121	sacrifice your career and then she'll complain that you don't bring enough money home .	Si sacrificas tu carrera, ella se quejará de que no ganas suficiente dinero.
ENG-dev-0122	okay , i 'm leaving myself behind this situation .	Vale, me recuso de esta situación.
ENG-dev-0124	Don't ever regret anything you do.	Te recomiendo que nunca te arrepientas de nada de lo que haces.
ENG-dev-0130	Cincinnati is a city in Appanoose County , Iowa , United States .	Pella es una ciudad en el condado de Marion, Iowa, Estados Unidos.
ENG-dev-0131	Iraqi Bomb Attacks Kill At Least 13	Coche bomba iraquí cerca de una iglesia mata al menos a 14 personas
ENG-dev-0133	The character has been generally well received by critics favouring her sound medical skills and poor bedside manner.	Pero Duncan Lindsay, que escribe para el periódico Metro, acusó al personaje de ser unidimensional.
ENG-dev-0136	whoa ! i see what 's going on here .	¿Cuál es el estado del campo magnético?
ENG-dev-0140	arrange one week of surprises for her.	Planea sorprenderla durante toda una semana.
ENG-dev-0142	The protein encoded by this gene belongs to the MYST family of histone acetyl transferases (HATs) and was originally isolated as an HIV-1 TAT-interactive protein.	Los HAT desempeñan funciones importantes en la regulación de la remodelación de la cromatina, la transcripción y otros procesos nucleares mediante la acetilación de proteínas histonas y no histonas.
ENG-dev-0145	I mention this relationship is a complication for Grace because she doesn't want to care for and eventually lose someone else.	Se propone proteger a Eva de su madre manteniendo en secreto las verdades sobre su madre.
ENG-dev-0147	madam , this flag is passed on behalf of a grateful nation , honorable and faithful service .	Señora, esta bandera se presenta en nombre de una nación agradecida por el honorable y fiel servicio prestado por su ser querido.
ENG-dev-0148	Yusuke Omi -LRB- born December 26 , 1946 -RRB- is a former Japanese football player .	Noritaka Hidaka -LRB- nacido el 29 de mayo de 1947 -RRB- es un exfutbolista japonés.
ENG-dev-0149	I talk to him more at school then my own boyfriend	En la escuela hablo con él más que con mi propio novio.
ENG-dev-0153	"Our intrepid group has to make major adjustments to their way of life to accommodate the ""ferals."""	Es una agradable pausa en la preparación del último libro de la serie.
ENG-dev-0154	if we do n't make this situation , it 's going to be a huge problem .	es que no me respetas lo suficiente como para permitirme tomar mis propias decisiones. ?
ENG-dev-0156	There is a man behind a white minivan, police car driving down the street as a white car pulls onto the street.	Un hombre con pantalones cortos verdes salta para atrapar un frisbee mientras otro hombre y una mujer corren hacia él.
ENG-dev-0162	Definitely one of my very favourite stories of all time.	Sin duda uno de los mejores indies.
ENG-dev-0163	This book was NOT boring.	Nada de esto quiere decir que no me guste este libro.
ENG-dev-0164	You just can't help but fall in love with him too.	Fue muy respetuoso y todo lo que hizo por Natalie derritió tu corazón.
ENG-dev-0165	There are more than 120 modern species assigned to over 20 genera .	A pesar de su enorme número, sólo hay unas 120 especies modernas en 20 géneros.
ENG-dev-0166	there is one song by cold chisel, cant think of the name of it sorry	Hay una canción de Cold Chisel, no se me ocurre el nombre.
ENG-dev-0167	a young man and a small boy holding a large movie camera standing next to a set of tracks.	Un joven vestido con una camiseta roja y pantalones negros realiza un soporte de rueda delantera en una bicicleta.
ENG-dev-0168	A boy wearing a life jacket has an apple in his mouth.	Un niño con una chaqueta roja hace una maniobra gimnástica en un campo deportivo con césped.
ENG-dev-0169	Fairest is a wonderful book and explanation for why Levana is the way she is and why she made certain choices.	Cuando descubra el motivo, deberá decidir por sí misma qué hacer.
ENG-dev-0171	It's a wonderful book by John Green.	Encontré el libro bien.
ENG-dev-0173	Pine Bluff is the largest city and county seat of Jefferson County , Arkansas , United States .	Hurt es una ciudad en el condado de Pittsylvania, Virginia, Estados Unidos.
ENG-dev-0176	It wasn't addressed as well or as thoroughly as I would have liked/thought was necessary.	No es lo que pensé que sería.
ENG-dev-0177	I do not think so because he is too old for me.	Cuando no quieren que sepas la respuesta, especialmente.
ENG-dev-0179	If she is a smart girl she can convince the guy to wait	Si tiene algo de inteligencia, podrá convencer al chico de que espere.
ENG-dev-0184	The capital is Morioka .	Su capital es la ciudad de Benevento.
ENG-dev-0186	you have to be 18 by yourself	Debes cumplir 18 años de forma individual.
ENG-dev-0187	Few things: Brennan is NOT the only last name that is good, just saying.	Tory no es la única persona allí, estuvo con una de sus amigas la mayor parte del tiempo.
ENG-dev-0189	Empicoris is a cosmopolitan genus of thread-legged bug (Emesinae).	Se han descrito numerosas especies.
ENG-dev-0190	What I did not like was that it is hard to remember who is who.	Hicieron lo que yo nunca pude hacer y los admiro por ello.
ENG-dev-0191	rubbish will often tell you more about someone than a conversation face to face .	La basura que alguien deja en la acera a menudo puede decir más que una conversación cara a cara.
ENG-dev-0192	Act like it doesn't bother you.	¿Por qué te excita?
ENG-dev-0193	John and Edie were both outstanding characters.	El autor hizo un muy buen trabajo al hacer que estos personajes fueran tan diferentes, pero identificables entre sí.
ENG-dev-0194	do you really think you 'll open it before the cops get here ?	¿De verdad crees que podrás resolver eso antes de que llegue la policía?
ENG-dev-0198	The population was 610 at the 2000 census .	En el año 2000, la población era de 11.792 habitantes.
ENG-dev-0199	Only Ever Yours is a dystopian novel and probably one of the most unsettling I've ever read.	Uf quiero leer el siguiente ------------------------------------------- -------------------------------
ENG-dev-0200	There are over 35 formal flowerbeds, geometric pathways, rose arbor, grape arbor, fruit trees, and vegetable and herb gardens.	Se utiliza ampliamente un invernadero para proporcionar plántulas utilizadas en la finca.
ENG-dev-0204	Glidden is a town in Carroll County , Iowa , United States .	Balsam Lake es una ciudad en el condado de Polk, Wisconsin, Estados Unidos.
ENG-dev-0205	And all were inducted into the College Football Hall of Fame . ''	Todos ellos llegaron al Salón de la Fama del Fútbol Americano Universitario. ''
ENG-dev-0206	and the vultures who really do suede !	¡Y buitres que realmente pueden zumbar!
ENG-dev-0208	Four young boys are running down a sidewalk.	Cuatro jóvenes flexionándose ante la cámara.
ENG-dev-0209	But he is such a great guy and loves her for who she is.	Él es un gran tipo y la ama por la persona que es.
ENG-dev-0210	And if reality TV really contained as many complicated, engaging characters as this book -- well, I would watch more of it.	(Realmente sólo hago programas de cocina.
ENG-dev-0211	At this point a local road -LRB- to Scout Green -RRB- runs between the two carriageways without a link to the motorway .	El distrito de Locarno -LRB- también llamado Locarnese -RRB- es un distrito del cantón Ticino, Suiza.
ENG-dev-0215	A woman with ripped jeans and boots is playing a street game.	Un gran grupo de personas se reúne afuera de una calle muy transitada.
ENG-dev-0216	I highly recommend that you read this book.	Este es el primer libro que leo en meses...
ENG-dev-0217	Long Hollow is a tributary of the creek.	La cuenca del arroyo tiene una superficie de 7,2 millas cuadradas (19 km2).
ENG-dev-0219	Man standing in front on automated turn stile.	Una mujer parada frente a una escena de playa y sonriendo.
ENG-dev-0223	The engine produced 55 hp (41 kW), giving the car a 90 km/h (56 mph) top speed.	El motor es un motor delantero con tracción trasera.
ENG-dev-0225	A quick research (1, 2) showed me that the concentration of caffeine seems to peak about 30-60mins after ingestion.	El problema es que nunca llega a ser útil en su verdadero significado.
ENG-dev-0228	A masked steel worker in orange works on a piece of metal, yellow sparks flying.	Niños afroamericanos jugando en una calle frente a un coche amarillo.
ENG-dev-0229	A man in white playing an instrument outside.	un hombre se cae de su kayak.
ENG-dev-0231	Here's a girl who just is.	Ella no quiere nada de él, ni siquiera su atención.
ENG-dev-0232	What can I say I need MORE.	No puedo decir que me guste mucho Emma y sus amigos son súper molestos.
ENG-dev-0233	I hope they do not make a mistake like they did with the secondone.	Sí, pero no esperes que la responsabilidad financiera recaiga sobre mis hombros.
ENG-dev-0234	Rhesalistis is a monotypic moth genus of the family Erebidae erected by George Hampson in 1926.	Su única especie, Rhesalistis rotundata, fue descrita por primera vez por Rothschild en 1915.
ENG-dev-0235	The new rings bring the total number of Uranian rings to 13 .	En 2010, la gente sabe que el sistema de anillos de Urano tiene 13 anillos.
ENG-dev-0239	That said, I had a great time living in this book.	Es difícil creer que quede alguien que quiera leer Los juegos del hambre y no lo haya hecho.
ENG-dev-0248	Waco is a city in and the county seat of McLennan County , Texas .	Es la sede del condado de Morris.
